"Metabolito_Clostridium","Metabolito_Bifidobacterium","Correlacion_Spearman","P_Value","P_Value_Ajustado"
"Clostridium_3-dehydrocholate","Bifidobacterium_3-dehydrocholate",-1,0,0
"Clostridium_3-dehydrocholate","Bifidobacterium_Acetaldehyde",0.257671493452627,0,0
"Clostridium_3-dehydrocholate","Bifidobacterium_Acetate",0.00244863542864072,0.273491292482479,1
"Clostridium_3-dehydrocholate","Bifidobacterium_Cholate",1,0,0
"Clostridium_3-dehydrocholate","Bifidobacterium_Citrate",0.00623153920262679,0.00532249662765258,1
"Clostridium_3-dehydrocholate","Bifidobacterium_CO2",-0.018741686198807,5.19383621737832e-17,4.13117732730272e-13
"Clostridium_3-dehydrocholate","Bifidobacterium_D-Fructose",-0.00967257293138731,1.51992880491942e-05,0.120895137143291
"Clostridium_3-dehydrocholate","Bifidobacterium_D-Glucose",-0.00549262104375982,0.0140345454512952,1
"Clostridium_3-dehydrocholate","Bifidobacterium_D-Glyceraldehyde",0.0232280979137777,2.7750394696768e-25,2.20726639418092e-21
"Clostridium_3-dehydrocholate","Bifidobacterium_D-Lactate",-0.149134971551504,0,0
"Clostridium_3-dehydrocholate","Bifidobacterium_D-Mannitol",-0.0201233740384041,2.2509867763957e-19,1.79043488194514e-15
"Clostridium_3-dehydrocholate","Bifidobacterium_D-Mannose",-0.0200441324826376,3.1069477582864e-19,2.471266246941e-15
"Clostridium_3-dehydrocholate","Bifidobacterium_D-Ribose",0.00451065888456027,0.04367197247402,1
"Clostridium_3-dehydrocholate","Bifidobacterium_Deoxyguanosine",0.0112680787329102,4.67075353611641e-07,0.00371511736262699
"Clostridium_3-dehydrocholate","Bifidobacterium_Ethanol",-0.258195380383677,0,0
"Clostridium_3-dehydrocholate","Bifidobacterium_Fe+2",0.00495381873834685,0.0267316040170579,1
"Clostridium_3-dehydrocholate","Bifidobacterium_Folate",0.00495381899250385,0.0267315962225284,1
"Clostridium_3-dehydrocholate","Bifidobacterium_Formaldehyde",0.461960747464019,0,0
"Clostridium_3-dehydrocholate","Bifidobacterium_Fumarate",-0.022420870615657,1.14683978345157e-23,9.12196363757379e-20
"Clostridium_3-dehydrocholate","Bifidobacterium_GABA",0.0195117939200898,2.62175155727684e-18,2.085341188658e-14
"Clostridium_3-dehydrocholate","Bifidobacterium_Glycine",-0.0167847040686596,6.05764469939927e-14,4.81825059390218e-10
"Clostridium_3-dehydrocholate","Bifidobacterium_Guanosine",-0.00315093306208127,0.158795314109302,1
"Clostridium_3-dehydrocholate","Bifidobacterium_H+",0.00421428820989336,0.0594725716622819,1
"Clostridium_3-dehydrocholate","Bifidobacterium_H2O",-0.068742079519108,5.066098550204e-208,4.02957478683227e-204
"Clostridium_3-dehydrocholate","Bifidobacterium_H2S",0.001460152089155,0.513758771793861,1
"Clostridium_3-dehydrocholate","Bifidobacterium_Heme",0.00495381873834685,0.0267316040170579,1
"Clostridium_3-dehydrocholate","Bifidobacterium_indol",0.0187139399652823,5.7711726841806e-17,4.59039075299725e-13
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Alanine",-0.0700701988350717,4.47795170703353e-216,3.56176278777447e-212
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Arabinose",-0.00461146239293079,0.0391785406180028,1
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Arginine",-0.00607137701983828,0.00662336766909426,1
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Asparagine",-0.0207856654271241,1.45038092867575e-20,1.15363299066869e-16
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Aspartate",0.0413430474966976,2.18432084456486e-76,1.73740879976689e-72
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Cysteine",-0.00147758685053494,0.508744970717449,1
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Glutamate",0.0131154934180209,4.47396650266902e-09,3.55859295622294e-05
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Glutamine",-0.00990901684024523,9.35676004417568e-06,0.0744236693913733
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Histidine",-0.0152444400622171,9.23973820113589e-12,7.34928776518349e-08
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Inositol",-0.00481950979191349,0.0311345068898537,1
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Isoleucine",-0.00796867460078222,0.000365616574492966,1
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Lactate",-0.155837875289289,0,0
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Leucine",-0.00261048153669376,0.243033723875478,1
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Lysine",-0.00614744577544569,0.00597354320349769,1
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Methionine",0.0167523541430478,6.76463718554011e-14,5.3805924173786e-10
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Phenylalanine",-0.0182936274807268,2.79652594095864e-16,2.2243567334385e-12
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Proline",-0.00205032532163276,0.359180060262428,1
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Serine",0.0249847180498926,5.39408660678985e-29,4.29045648704065e-25
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Threonine",0.0223325247901923,1.70993399273077e-23,1.36008149781806e-19
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Tryptophan",-0.0114657069770836,2.93215297933321e-07,0.00233223447976164
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Tyrosine",-0.00792510829991413,0.000393732189984852,1
"Clostridium_3-dehydrocholate","Bifidobacterium_L-Valine",0.010040265431954,7.1146873885353e-06,0.0565902234884098
"Clostridium_3-dehydrocholate","Bifidobacterium_Methanol",-0.462290832489231,0,0
"Clostridium_3-dehydrocholate","Bifidobacterium_MTTL",-0.0131094383881282,4.54758072246942e-09,3.61714570665218e-05
"Clostridium_3-dehydrocholate","Bifidobacterium_NAD",-0.0253264978066337,9.5248204868984e-30,7.57604221527898e-26
"Clostridium_3-dehydrocholate","Bifidobacterium_NADP",0.0253914538718493,6.83273765707343e-30,5.43475953243621e-26
"Clostridium_3-dehydrocholate","Bifidobacterium_NH3",0.06963954370546,1.90346896312111e-213,1.51401921326653e-209
"Clostridium_3-dehydrocholate","Bifidobacterium_Ornithine",-0.0342198031531565,6.76647523831457e-53,5.38205440455541e-49
"Clostridium_3-dehydrocholate","Bifidobacterium_PAN",-0.00841569827704239,0.000167445979965593,1
"Clostridium_3-dehydrocholate","Bifidobacterium_Phosphate",-0.0254789245754305,4.36268320792316e-30,3.47007822358208e-26
"Clostridium_3-dehydrocholate","Bifidobacterium_Putrescine",0.0113281613012622,4.05753232749075e-07,0.00322736121328615
"Clostridium_3-dehydrocholate","Bifidobacterium_Pyruvate",0.374974925536426,0,0
"Clostridium_3-dehydrocholate","Bifidobacterium_Riboflavin",0.00495381873834685,0.0267316040170579,1
"Clostridium_3-dehydrocholate","Bifidobacterium_Siroheme",0.00495381873834685,0.0267316040170579,1
