Feature,Consortium_Early_R1,Consortium_Early_R2,Consortium_Early_R3,Consortium_Late_R1,Consortium_Late_R2,Consortium_Late_R3,HGF2_Early_R1,HGF2_Early_R2,HGF2_Early_R3,HGF2_Late_R1,HGF2_Late_R2,HGF2_Late_R13
RCHGF003933,10,27,12,13,2,6,12970,12500,8353,8312,12594,9622
RCHGF003934,12,6,8,6,5,4,676,733,663,768,889,680
RCHGF003935,2,3,1,0,1,0,2293,1982,2177,1473,2307,1798
RCHGF003936,20,16,24,7,2,10,8738,9614,6797,5384,7921,6556
RCHGF003937,3,0,1,0,1,0,189,163,154,168,192,186
RCHGF003938,0,1,0,0,0,0,118,133,82,42,76,124
RCHGF003939,1,0,3,0,0,0,335,309,177,145,233,206
RCHGF003940,0,2,0,0,0,0,187,179,137,68,110,85
RCHGF003941,1,0,1,0,0,0,16,19,11,27,18,7
RCHGF003942,1,0,0,0,0,0,156,208,172,78,101,97
RCHGF003943,5,3,1,3,3,2,1075,1048,683,615,716,677
RCHGF003944,6,1,2,3,2,0,1057,909,1110,546,582,469
RCHGF003945,0,5,9,1,4,0,620,631,760,329,482,410
RCHGF003946,12,10,7,9,4,6,2266,2483,1492,1254,1656,1397
RCHGF003947,50,71,54,18,19,19,5151,4884,3072,1315,2011,1569
RCHGF003948,90,176,115,47,49,61,91511,69787,77537,30509,30880,22902
RCHGF003949,2,0,1,0,0,0,603,506,390,403,559,373
RCHGF003950,11,13,13,12,3,6,3444,3569,3259,2889,4660,3837
RCHGF003951,0,1,1,0,0,0,166,210,283,168,135,124
RCHGF003952,1,2,0,0,0,2,479,499,425,374,697,515
RCHGF003953,24,33,21,17,7,19,7397,7449,6416,5557,9474,7650
RCHGF003954,8,8,6,1,0,2,1738,2106,1941,1550,2204,1978
RCHGF003955,1,2,0,0,1,0,279,254,247,171,192,134
RCHGF003956,1,2,2,1,3,0,1191,1179,1103,888,1004,759
RCHGF003957,6,7,10,2,1,0,2623,2813,1667,1916,2566,2257
RCHGF003958,8,4,3,0,1,1,428,421,286,352,379,306
RCHGF003959,1,0,8,0,3,0,498,588,286,303,340,252
RCHGF003960,7,6,2,3,2,2,898,1038,469,505,580,540
RCHGF003961,95,166,84,37,26,52,7054,7485,3477,3618,4239,3992
RCHGF003962,10,10,12,5,3,8,1346,1633,915,927,1205,967
RCHGF003963,31,26,25,11,9,8,5886,4914,6865,2329,1996,1592
RCHGF003964,230,294,270,136,145,170,15862,11679,22837,8971,8924,6190
RCHGF003965,3,4,2,2,1,0,887,986,587,881,904,844
RCHGF003966,0,1,4,2,1,0,411,632,354,550,357,372
RCHGF003967,3,6,1,1,0,1,686,762,435,393,453,391
RCHGF003968,4,8,4,2,1,1,805,799,657,539,624,476
RCHGF003969,6,3,9,0,1,0,564,434,312,323,425,350
RCHGF003970,17,21,13,5,7,7,2658,2368,1874,1835,2856,2399
RCHGF003971,4,10,13,3,4,1,1408,1403,1222,1381,2147,1591
RCHGF003972,13,8,4,5,5,10,3356,3351,3570,2629,5083,4025
RCHGF003973,7,6,2,4,4,3,2196,2564,1574,1124,1624,1431
RCHGF003974,47,69,41,27,15,21,13083,14221,8761,3284,4556,3934
RCHGF003975,93,93,65,26,28,28,12742,13819,9669,3854,6007,5134
RCHGF003976,8,1,5,6,2,4,1139,990,976,380,549,430
RCHGF003977,0,4,2,0,1,1,594,497,500,172,308,292
RCHGF003978,0,4,1,1,1,0,429,367,277,367,316,284
RCHGF003979,2,1,0,0,0,0,117,160,68,91,70,52
RCHGF003980,0,0,0,0,1,2,52,49,31,218,394,327
RCHGF003981,5,3,1,0,0,0,176,229,120,649,819,729
RCHGF003982,0,2,0,1,0,2,40,37,11,113,161,109
RCHGF003983,7,11,8,11,2,0,439,485,262,2364,2824,2801
RCHGF003984,0,3,0,0,0,1,26,35,24,66,95,85
RCHGF003985,53,39,35,25,43,48,27924,26682,164238,16698,19613,15307
RCHGF003986,0,1,0,2,0,0,395,394,283,352,304,300
RCHGF003987,0,0,1,2,3,0,578,458,598,295,418,297
RCHGF003988,2,16,0,6,1,0,206,267,215,17289,15796,13520
RCHGF003989,1,10,1,1,0,0,81,114,108,4753,4575,4134
RCHGF003990,0,1,0,0,0,0,46,34,41,5307,4955,4151
RCHGF003991,0,0,0,0,0,0,43,58,44,1553,1818,1684
RCHGF003992,1,3,0,0,1,3,2035,1688,2825,6127,6188,5135
RCHGF003993,4,3,1,7,8,2,1396,1350,2448,1586,1830,1322
RCHGF003994,0,4,1,0,3,0,830,693,1021,563,768,612
RCHGF003995,9,7,7,0,3,2,3033,3453,3388,2058,3144,2547
RCHGF003996,8,9,13,3,4,14,6918,7658,5619,4763,7044,5885
RCHGF003997,10,6,2,2,4,4,7187,6845,10498,1514,2174,1783
RCHGF003998,20,27,37,12,10,10,28376,29179,23496,4410,6411,5696
RCHGF003999,1,0,0,0,0,0,44,61,39,77,72,62
RCHGF004000,5,7,9,1,0,4,562,741,376,3579,3092,2536
RCHGF004001,12,12,5,5,6,6,1791,1752,1661,3600,4667,4010
RCHGF004002,14,9,2,5,4,3,1268,1479,792,1870,2277,1922
RCHGF004003,7,13,9,4,6,4,1351,1350,763,1883,2195,1980
RCHGF004004,4,1,0,2,1,2,242,240,128,278,256,202
RCHGF004005,4,1,5,2,0,0,435,415,852,1046,1448,1209
RCHGF004006,1,4,4,2,0,4,3587,3781,5068,1908,2442,1900
RCHGF004007,8,19,13,7,4,4,2038,2088,2520,1067,1002,842
RCHGF004008,5,12,5,2,0,0,525,484,238,486,506,489
RCHGF004009,3,1,3,2,1,1,560,600,160,1120,867,972
RCHGF004010,7,7,0,0,0,3,745,787,211,2204,1499,1208
RCHGF004011,1,1,0,1,0,4,175,149,79,112,124,103
RCHGF004012,1,0,3,0,1,6,287,349,127,154,187,178
RCHGF004013,5,12,10,2,2,8,4831,4906,3031,3151,5020,4147
RCHGF004014,1,6,3,1,3,3,2744,2470,2803,2094,2842,2002
RCHGF004015,0,1,0,0,1,0,230,276,230,169,225,163
RCHGF004016,0,0,0,0,0,0,154,125,202,101,245,187
RCHGF004017,1,1,0,0,0,1,857,837,941,748,1024,902
RCHGF004018,2,2,8,1,1,4,1611,1632,1145,1284,1776,1518
RCHGF004019,0,0,0,0,0,0,25,17,13,15,14,6
