"Feature","Consortium_Early_R1","Consortium_Early_R2","Consortium_Early_R3","Consortium_Late_R1","Consortium_Late_R2","Consortium_Late_R3","PT8_Early_R1","PT8_Early_R2","PT8_Early_R3","PT8_Late_R1","PT8_Late_R2","PT8_Late_R3"
"RVCYZ000092",387,459,330,354,264,240,491,790,373,1105,1263,1235
"RVCYZ000093",1047,1319,927,868,826,709,1270,1981,1607,3239,3373,3531
"RVCYZ000094",683,765,529,536,514,463,685,1111,1505,1844,1966,1922
"RVCYZ000095",884,1059,876,836,678,682,805,933,1989,1279,1154,1152
"RVCYZ000096",2595,3350,2408,2403,1861,1974,2306,2971,5845,3772,3474,3461
"RVCYZ000097",746,932,759,513,439,343,733,1053,1743,1690,1634,1763
"RVCYZ000098",4002,5313,3737,2422,1753,1896,3493,3891,7027,2742,2619,2713
"RVCYZ000099",11431,14699,11006,7599,5926,6569,10503,12146,9962,5051,4576,4809
"RVCYZ000100",2800,3814,2947,2414,2119,2237,2393,3042,3715,2873,2978,2864
"RVCYZ000101",326,391,323,333,234,297,271,376,927,772,793,642
"RVCYZ000102",1149,1427,1015,2472,2117,2370,1315,1757,464,1381,1334,1360
"RVCYZ000103",2764,3339,2763,2575,2269,2402,2516,3149,3734,3247,3380,3538
"RVCYZ000104",3476,4958,4010,2658,2191,2401,2870,3448,2924,3050,2998,2934
"RVCYZ000105",460,529,394,374,295,263,409,629,484,822,790,794
"RVCYZ000106",1076,1330,1022,913,786,758,1170,1375,981,1680,1678,1682
"RVCYZ000107",1530,1982,1450,1087,891,953,1598,2074,3679,2732,2873,2965
"RVCYZ000108",807,1000,772,663,526,480,900,1172,426,1399,1506,1518
"RVCYZ000109",1045,1301,1001,938,798,669,1077,1656,521,2057,2166,2218
"RVCYZ000110",1030,1308,975,771,658,626,990,1426,477,1940,1921,1918
"RVCYZ000111",1824,2281,1914,1302,1083,1126,1878,1965,1340,1458,1360,1356
"RVCYZ000112",8137,10226,8025,4641,3800,4274,7190,8407,4788,5639,5795,5994
"RVCYZ000113",2541,3029,2364,1571,1366,1230,1954,2625,2290,2013,2125,2135
"RVCYZ000114",774,1017,761,534,499,428,824,1168,437,1663,1708,1853
"RVCYZ000115",131,126,115,79,78,83,115,187,68,320,373,302
"RVCYZ000116",439,604,379,492,383,274,583,1027,341,2284,2300,2314
"RVCYZ000117",261,288,205,217,219,161,295,572,267,1040,1215,1142
"RVCYZ000118",14816,18239,16265,12594,10898,11779,17058,18813,29682,14132,14326,16053
"RVCYZ000119",373,444,328,322,346,276,378,558,402,1145,1252,1287
"RVCYZ000121",40,48,28,78,46,28,63,117,6,264,234,294
"RVCYZ000122",455,564,334,516,382,290,739,1149,113,2214,2438,2504
"RVCYZ000123",29,13,27,20,18,8,33,49,4,116,119,113
"RVCYZ000124",538,537,402,498,390,386,632,1078,319,1929,2332,2273
"RVCYZ000125",188,268,157,126,106,83,174,254,294,550,627,455
"RVCYZ000126",947,1230,944,681,667,502,1035,1443,1143,1810,2114,1898
"RVCYZ000127",1656,1866,1462,1676,1375,1327,1791,2457,867,2966,3215,3293
"RVCYZ000128",2415,2817,2138,2038,1740,1623,1907,2163,2657,1465,1551,1535
"RVCYZ000129",1217,1435,1368,1206,1021,961,1385,2066,1274,3328,3341,3172
"RVCYZ000130",819,981,793,728,598,623,744,1115,790,1453,1572,1585
"RVCYZ000131",24103,33896,22591,17835,14302,14894,18617,19773,5193,5739,5112,5173
"RVCYZ000133",343,432,259,298,216,145,367,641,212,1285,1419,1323
"RVCYZ000134",675,841,713,718,539,448,729,1271,670,2123,2318,2313
"RVCYZ000135",2070,2644,2024,1934,1520,1475,2422,3571,767,4880,5299,5101
"RVCYZ000136",4489,5709,4400,3119,2560,2232,4390,5838,2084,6602,6826,6566
"RVCYZ000137",1431,1907,1309,1241,959,743,1641,2533,1656,4112,4333,4380
"RVCYZ000138",1245,1624,1200,874,677,646,1274,1562,1666,1429,1325,1389
"RVCYZ000139",1003,1248,987,789,674,634,1084,1468,1691,2164,2245,2121
"RVCYZ000140",6559,8057,6679,4905,4151,4503,6447,7640,6758,3319,3154,3418
"RVCYZ000142",1044,1241,845,747,604,735,678,1038,1905,1202,1248,1336
"RVCYZ000143",1889,2385,1716,1469,1171,1032,2147,3097,2901,4785,4906,4988
"RVCYZ000144",5280,6632,4812,4774,3969,4538,4508,5007,8239,2991,2945,2973
"RVCYZ000145",645,765,556,582,424,482,707,803,2292,944,923,909
"RVCYZ000146",427,535,391,520,387,328,513,896,1689,1873,1945,1990
"RVCYZ000148",377,484,310,360,337,296,346,542,1096,980,898,891
"RVCYZ000149",1727,2045,1596,1387,1136,1067,1402,1562,3723,974,997,989
"RVCYZ000150",4732,5901,4881,2701,2277,2616,4506,4720,9398,1952,1749,1762
"RVCYZ000151",1481,2025,1535,1215,973,933,1470,2083,3640,3228,3325,3159
"RVCYZ000152",41,76,46,56,38,23,66,93,99,245,265,231
"RVCYZ000153",664,451,295,368,258,194,499,756,599,1776,1448,1940
"RVCYZ000154",9791,13322,9529,7030,5452,5669,8220,8707,2764,4679,4655,4427
"RVCYZ000155",1751,2251,1634,1007,768,743,1738,2217,7776,3123,3046,3088
"RVCYZ000156",4108,4954,3427,2197,1573,1574,4132,4474,10660,4726,4699,4842
"RVCYZ000157",3265,4131,2785,2138,1767,1594,3459,4420,6230,5080,5448,5255
"RVCYZ000158",604,853,617,423,408,340,692,957,956,1544,1584,1542
"RVCYZ000159",1909,2172,1671,1298,978,1018,2009,2481,1865,2209,2237,2303
"RVCYZ000160",1652,1906,1487,940,815,797,1411,1818,2413,1233,1256,1239
"RVCYZ000161",1434,1665,1247,1029,825,857,1280,1690,2147,1479,1563,1540
"RVCYZ000162",2195,2531,1984,1506,1269,1256,2359,2613,4186,2065,2134,2266
"RVCYZ000163",3176,3731,3114,1784,1621,1796,3211,3493,5730,2132,2108,2033
"RVCYZ000164",7327,8939,7588,6956,6280,7313,7608,8112,11388,4694,5108,5343
"RVCYZ000165",2746,3699,2802,2358,1923,1903,2682,3334,3931,3305,3381,3278
"RVCYZ000166",4457,5772,4571,3615,3195,3306,4367,4902,4973,4485,4414,4575
"RVCYZ000167",5720,7060,5564,6785,6723,7018,6180,7355,4340,6911,6876,7186
"RVCYZ000168",3099,4130,2969,2374,1875,2033,2822,3641,3301,2646,2644,2644
"RVCYZ000169",863,1151,790,863,786,705,992,1416,1283,2422,2326,2390
"RVCYZ000170",2003,2221,1664,1264,899,831,2504,2850,5569,3129,2750,2774
"RVCYZ000171",665,794,708,491,364,420,741,882,1928,995,827,878
"RVCYZ000172",2847,3602,2577,1635,1313,1239,2892,3709,5391,3927,3754,3782
"RVCYZ000173",1504,1897,1489,1260,1176,1308,1468,1700,1728,1389,1387,1340
"RVCYZ000174",2594,3386,2378,1720,1404,1360,2683,3309,2492,2398,2228,2258
"RVCYZ000175",186,210,148,238,239,186,197,305,42,609,583,646
"RVCYZ000176",31201,40856,33295,31514,27570,32050,36463,37296,32438,17226,15031,15650
"RVCYZ000177",86,115,62,83,68,32,89,136,580,374,408,344
"RVCYZ000178",1583,1972,1721,1282,1063,1159,1528,1856,2242,1557,1686,1643
"RVCYZ000179",2117,2665,1965,1713,1341,1305,1636,2165,1434,1852,1736,1735
"RVCYZ000180",2901,3337,2582,2560,2158,2351,2177,2615,2466,2215,2460,2476
"RVCYZ000181",1407,1957,1475,983,715,683,1267,1615,1421,1677,1844,1747
"RVCYZ000182",353,358,266,198,176,147,325,431,124,562,618,669
"RVCYZ000183",1587,1964,1393,798,572,565,1317,1648,1007,1783,1799,1617
"RVCYZ000184",1031,1342,1023,650,505,477,1051,1480,565,1786,1678,1822
"RVCYZ000185",1023,1321,914,473,350,335,802,1152,642,937,976,988
"RVCYZ000186",114,114,83,67,71,64,113,219,84,358,432,392
"RVCYZ000187",638,869,546,599,484,337,867,1470,503,2843,2870,2880
"RVCYZ000188",6820,8900,6540,4048,3478,3945,6320,6769,6885,3680,3681,3582
"RVCYZ000189",4078,5291,3762,2431,1977,1709,4308,5235,2255,5068,5595,5434
"RVCYZ000190",8938,9955,9098,8637,6837,7845,7615,8440,2113,1120,1258,1450
"RVCYZ000191",1665,2083,1509,1297,1170,1052,1934,2549,1190,2771,2878,2965
"RVCYZ000192",84,102,67,112,116,88,82,136,80,208,191,201
"RVCYZ000193",1797,2146,1838,1583,1353,1371,1828,2353,2134,1676,1806,1948
"RVCYZ000194",1457,1797,1268,1088,897,822,1737,2574,761,3291,3794,3697
"RVCYZ000195",2093,2675,1863,1310,1120,977,2331,3033,1852,3564,3635,3640
"RVCYZ000196",451,614,469,463,369,312,578,872,1162,1334,1468,1475
"RVCYZ000197",872,1097,754,817,601,539,947,1240,2145,1659,1768,1787
"RVCYZ000198",2412,2699,2380,1908,1623,1605,2698,3164,2799,2441,2651,2615
"RVCYZ000199",1955,2373,1772,1546,1262,1115,2469,3444,1120,4810,5434,5520
"RVCYZ000200",4019,4881,3484,3598,3064,3222,3130,3583,5880,3408,3390,3422
"RVCYZ000201",6623,7997,6131,5942,5013,5287,5576,6177,8904,4252,4024,4110
"RVCYZ000202",2787,3119,2728,1145,1002,1116,3464,4211,4764,2133,1845,1881
"RVCYZ000203",9851,12727,9727,6040,4965,5316,9911,10857,3700,5505,5634,5717
"RVCYZ000204",365,440,387,291,244,215,520,687,319,1040,1164,1203
"RVCYZ000205",2224,2905,2360,1362,1124,1151,2212,2468,1749,2007,2025,2221
"RVCYZ000206",6865,8782,6955,4095,3572,3407,6405,8086,3787,6956,7729,7685
"RVCYZ000207",2120,2725,2305,1437,1292,1252,2153,2423,2693,2613,2678,2645
"RVCYZ000208",1473,1837,1578,1236,1032,1044,1103,1221,3051,988,953,949
"RVCYZ000209",4881,6357,4697,4304,3516,3807,4048,4349,6865,2110,1893,1859
"RVCYZ000210",592,795,509,823,695,748,660,953,1052,1356,1398,1334
"RVCYZ000211",975,1595,949,833,628,719,770,1012,581,789,946,825
"RVCYZ000212",162128,228696,161571,141252,111319,117490,140392,145086,107915,48827,37016,36505
"RVCYZ000213",42315,56275,42373,31245,27005,28650,39203,39409,79750,22290,18143,19353
"RVCYZ000214",6879,8284,6481,5901,4759,4920,5019,5403,7847,2377,1949,2032
"RVCYZ000215",5570,6573,6430,4758,4262,4453,4835,4619,5736,1581,1543,1830
"RVCYZ000216",5848,7222,5305,4781,3729,3881,5112,5443,6182,3141,3036,2978
"RVCYZ000217",3542,4964,3540,2195,1732,1668,3372,4144,2230,2768,2759,2819
"RVCYZ000218",2462,3189,2309,1912,1641,1521,2466,3008,2498,3032,3254,3281
"RVCYZ000219",7042,9342,7042,5307,4612,4833,6008,6173,6717,3522,3047,3276
"RVCYZ000220",9141,11485,8625,6552,5238,5460,7793,10230,2149,8196,8971,8570
"RVCYZ000221",529,604,360,397,383,291,656,1249,281,2092,2232,2193
"RVCYZ000222",158,183,120,120,80,52,175,361,107,652,703,696
"RVCYZ000223",103,126,59,77,41,46,107,135,160,300,273,193
"RVCYZ000224",313,410,257,299,222,164,464,690,1557,1360,1385,1418
"RVCYZ000225",525,644,342,437,467,256,754,1220,374,1992,2003,1876
"RVCYZ000226",313,496,289,303,244,211,321,499,56,848,865,633
"RVCYZ000227",323,365,230,276,272,222,301,529,114,1024,986,920
"RVCYZ000228",417,485,358,260,198,133,373,504,1158,741,620,594
"RVCYZ000229",1367,1592,1268,760,699,582,1577,2221,715,2527,2562,2544
"RVCYZ000230",117,145,120,95,86,52,174,255,197,461,432,454
"RVCYZ000231",1414,1788,1353,817,696,524,1844,2400,2378,3013,3227,3187
"RVCYZ000232",3049,3482,2790,2036,1715,1605,2246,3228,1450,3236,3640,3484
"RVCYZ000233",947,1207,863,771,623,544,829,1432,503,1872,2098,2114
"RVCYZ000234",2730,3437,2689,2037,1676,1664,2392,2903,1180,2757,2993,3033
"RVCYZ000235",4187,5334,3955,2119,1921,1822,4120,4745,7779,3102,3319,3406
"RVCYZ000236",7575,9856,6941,4158,3552,3590,8335,9615,6269,6154,6190,6283
"RVCYZ000237",919,1143,1005,693,716,789,1347,1489,750,866,912,946
"RVCYZ000238",1651,2048,1586,1378,1089,1043,1707,2222,2099,2390,2520,2607
"RVCYZ000239",481,450,328,370,284,256,503,723,307,956,1113,1017
"RVCYZ000240",1277,1488,1019,1203,883,740,1541,2395,2245,4041,4474,4298
"RVCYZ000241",1173,1548,1126,849,707,588,1409,1993,2893,2262,2719,2674
"RVCYZ000242",2177,2595,1627,1780,1516,1274,2229,3448,10186,5741,6116,5994
"RVCYZ000243",1318,1437,1110,863,745,674,1290,1998,1612,2508,2711,2861
"RVCYZ000244",1378,1774,1408,1029,856,913,1277,1640,1487,1238,1354,1412
"RVCYZ000245",2200,2706,1998,1607,1302,1484,2086,2396,1661,1436,1439,1361
"RVCYZ000246",631,851,485,525,478,367,768,1312,152,2012,2288,2289
"RVCYZ000247",8766,10529,7727,1591,1238,1267,8447,9307,8029,1683,1659,1818
"RVCYZ000248",2539,3156,2054,824,534,603,1966,2151,3183,890,813,794
"RVCYZ000249",588,683,480,267,221,220,536,695,1733,822,899,864
"RVCYZ000250",273,422,246,258,234,168,398,620,645,874,1055,982
"RVCYZ000251",900,1249,928,891,694,737,963,1333,453,1676,2027,1575
"RVCYZ000252",89,104,69,84,42,49,91,101,80,283,429,215
"RVCYZ000253",899,1206,683,749,539,420,1050,1502,619,3136,3504,2685
"RVCYZ000254",141,186,115,126,115,78,177,285,144,708,717,693
"RVCYZ000255",80,135,92,71,81,41,73,140,92,306,419,263
"RVCYZ000256",91,114,63,82,84,56,87,215,32,462,471,434
"RVCYZ000257",141,191,109,125,99,53,144,263,463,689,639,602
"RVCYZ000258",107,221,96,104,95,66,187,319,30,592,671,621
"RVCYZ000259",64,85,59,61,44,43,98,149,229,352,279,220
"RVCYZ000260",86,119,54,73,52,60,116,196,63,404,404,402
"RVCYZ000261",340,379,233,358,294,218,372,708,155,1157,1319,1211
"RVCYZ000262",325,459,218,302,211,162,341,733,182,1387,1507,1298
"RVCYZ000263",1437,1880,1102,1297,1000,769,1826,2904,1542,4117,4915,4846
"RVCYZ000264",570,742,493,611,578,462,826,1299,468,2166,2450,2410
"RVCYZ000265",845,1011,627,741,559,498,1066,1599,879,2402,2573,2686
"RVCYZ000266",714,888,754,404,365,318,934,1187,474,1383,1556,1577
"RVCYZ000267",1824,2527,2055,715,638,618,2276,2437,1204,1540,1648,1581
"RVCYZ000268",1302,1654,1353,608,550,514,1634,1969,840,1501,1770,1635
"RVCYZ000269",3545,4815,3790,1624,1382,1340,4358,4689,3560,2785,2715,2605
"RVCYZ000270",7809,10156,7759,4930,4004,4203,10122,11595,10592,7043,6760,6114
"RVCYZ000271",772,929,691,718,646,593,688,986,1183,1312,1382,1360
"RVCYZ000272",263,335,232,173,152,141,251,322,717,499,514,513
"RVCYZ000273",1410,1876,1607,901,767,626,1499,1862,5322,2575,2373,2250
"RVCYZ000274",7669,9177,7385,4243,3649,3873,8631,9884,14231,7800,7620,7931
"RVCYZ000275",512,589,389,336,303,230,578,876,637,1472,1580,1378
"RVCYZ000276",498,698,348,327,297,216,576,956,2255,1648,1788,1513
"RVCYZ000277",1533,1793,1471,919,840,857,1693,2108,2479,2160,2173,2380
"RVCYZ000278",2448,2830,1934,1485,1119,1212,2278,2953,2908,2504,2613,2689
"RVCYZ000279",1861,2173,1539,1320,1102,1091,1973,2252,2539,2578,2633,2686
"RVCYZ000280",2170,2641,1828,1755,1362,1436,1842,2397,2775,2511,2468,2571
"RVCYZ000281",567,837,512,418,354,317,778,1003,686,1239,1540,1410
"RVCYZ000282",10518,13538,10351,6154,5381,5755,9825,11182,25007,6699,6276,6808
"RVCYZ000283",1307,1844,1389,826,700,709,1353,1622,2761,1827,1740,1868
"RVCYZ000284",2584,2939,2340,1401,1291,1304,2578,3181,5758,3520,3675,3832
"RVCYZ000285",3207,3826,2813,2269,1901,2017,2939,3468,10660,3776,3783,3774
"RVCYZ000286",195,264,242,175,144,114,160,243,752,410,434,412
"RVCYZ000287",2862,3247,2692,2303,1733,1990,3197,3906,3286,3215,3307,3624
"RVCYZ000288",304,355,200,279,233,191,338,465,238,775,829,892
"RVCYZ000289",1844,2196,1581,1082,866,757,1846,2544,1302,2864,3031,2974
"RVCYZ000290",3598,4431,3433,2708,2120,2428,3493,3829,3908,2312,2322,2376
"RVCYZ000291",7247,8533,7473,4608,4106,4876,6954,6831,3235,1909,2032,2011
"RVCYZ000292",6520,8418,6040,5550,4549,4751,5628,6933,2876,5134,5308,5019
"RVCYZ000293",403,558,376,428,332,306,492,921,908,1661,1727,1701
"RVCYZ000294",4908,6066,4537,3185,2718,2767,5408,6636,6462,5090,5160,5497
"RVCYZ000295",718,900,742,490,503,471,664,884,1619,1045,1065,1044
"RVCYZ000296",2187,2699,2001,1440,1283,1200,2572,3135,7254,4740,4666,4674
"RVCYZ000297",3043,3611,2777,2254,1859,1923,3001,3497,7950,3342,3144,3276
"RVCYZ000298",1818,2146,1806,1240,973,1186,2085,2403,2846,1525,1537,1566
"RVCYZ000299",7340,9294,6908,5459,4663,4741,6642,7581,5590,4858,4614,4784
"RVCYZ000300",2719,3437,2530,1203,1150,973,3289,3727,6290,3752,3642,4011
"RVCYZ000301",4917,5404,5001,3130,2980,3215,6846,7073,6498,3755,4023,4735
"RVCYZ000302",1122,1209,858,590,559,483,1169,1565,4742,2450,2532,2742
"RVCYZ000303",2004,2613,1821,1115,965,867,2160,2568,8172,3569,3560,3814
"RVCYZ000304",3203,4229,3432,1716,1463,1729,4158,5580,10118,5361,4976,4743
"RVCYZ000305",918,1109,736,688,712,463,1126,1792,943,2526,2943,2916
"RVCYZ000306",839,998,600,882,753,528,1025,1969,335,3149,3524,3525
"RVCYZ000307",856,932,649,720,593,437,962,1790,903,3064,3252,3149
"RVCYZ000308",629,674,464,559,397,303,892,1478,238,2575,2815,2731
"RVCYZ000309",939,1107,624,807,661,443,1240,2227,113,3949,4210,4257
"RVCYZ000310",946,1159,697,856,745,661,1135,1901,947,3639,3774,3575
"RVCYZ000311",385,484,300,337,269,228,402,700,302,1434,1445,1449
"RVCYZ000312",385,565,350,481,375,294,505,860,340,1695,1759,1660
"RVCYZ000313",981,1083,705,1203,920,891,1166,1842,951,2835,2950,3085
"RVCYZ000314",895,1045,673,1007,783,765,923,1372,1295,2344,2485,2511
"RVCYZ000315",1091,1243,794,1034,888,672,1409,2380,1139,3800,4422,4529
"RVCYZ000316",1132,1384,896,1131,903,742,1291,2101,1847,3269,3344,3444
"RVCYZ000317",43743,48426,37959,51375,30837,34064,57554,49527,10346,22095,19401,19849
"RVCYZ000318",543,766,445,537,350,299,669,1011,528,1694,1872,1684
"RVCYZ000319",654,843,540,542,409,292,814,1283,1088,2002,2003,1885
"RVCYZ000320",1724,1896,1867,1261,1155,1164,1699,2023,2997,2033,2152,2225
"RVCYZ000321",1279,1690,1165,1072,991,762,1712,2305,692,2891,3156,3184
"RVCYZ000322",667,948,614,504,419,431,746,882,946,1026,1113,1170
"RVCYZ000323",5176,6350,4962,4136,3611,3681,5288,6512,7082,4836,5161,5356
"RVCYZ000324",825,1101,644,663,535,485,957,1234,962,1974,2064,2192
"RVCYZ000325",1312,1477,1166,767,576,583,1284,1516,697,1143,1306,1226
"RVCYZ000326",1783,2288,1628,1031,845,985,1968,2414,1493,1946,1952,2089
"RVCYZ000327",18911,23177,16959,9914,8163,8527,18612,20600,19852,7032,7066,7742
"RVCYZ000328",3396,3958,2738,1361,1033,1037,3365,3650,3889,993,907,1060
"RVCYZ000329",515,665,363,456,384,264,753,1235,819,2013,2246,2115
"RVCYZ000330",1571,1770,1329,970,768,688,1799,2473,2550,3135,3466,3538
"RVCYZ000331",1264,1580,1062,983,936,602,1629,2594,1376,3496,4084,3871
"RVCYZ000332",684,817,554,490,382,348,780,1089,1496,2017,2016,2041
"RVCYZ000333",1881,2393,1786,1228,1130,1163,2198,2609,2225,2805,3034,2765
"RVCYZ000334",2702,3621,2602,1852,1572,1734,3041,3778,2412,3253,3230,3246
"RVCYZ000335",1283,1432,1112,1023,910,848,1224,1724,1013,2232,2355,2134
"RVCYZ000336",1040,1103,809,727,610,506,1299,1778,817,2436,2578,2634
"RVCYZ000337",40619,55588,36172,53928,40894,41630,48601,55131,5661,18330,12790,11312
"RVCYZ000338",23458,31802,22366,35764,31040,31133,31241,36260,3392,12698,10394,10374
"RVCYZ000339",61690,82711,56600,89805,73187,79291,80505,88383,6288,28731,24034,23426
"RVCYZ000340",49992,65156,48893,78545,67056,72535,70560,76549,6611,37397,29921,28371
"RVCYZ000342",845,760,497,584,490,313,800,1475,4307,4271,3358,4512
"RVCYZ000343",3027,3521,2792,1975,1825,1863,3846,4917,1912,4344,5131,5281
"RVCYZ000344",1237,1359,950,880,784,570,1555,2477,917,3688,4609,4928
"RVCYZ000345",1304,1052,943,658,628,526,1148,1612,943,2305,2345,2829
"RVCYZ000346",2131,2270,1604,1383,1209,1034,2435,3343,506,3958,4455,4859
"RVCYZ000347",1008,1006,640,490,333,343,947,1387,267,1767,1694,2067
"RVCYZ000348",983,1311,1057,418,465,386,1285,1433,1549,1491,1362,1485
"RVCYZ000349",4824,6085,4148,4442,3876,3897,4942,5969,5429,6299,6815,6751
"RVCYZ000350",4020,4557,3522,2582,2287,2271,5216,6426,6428,5957,6561,7171
"RVCYZ000351",1367,1665,1223,1132,998,805,1739,2663,615,2901,3544,3503
"RVCYZ000352",6583,7263,6244,5659,5150,5680,6921,7947,9106,7148,7363,9451
"RVCYZ000353",3185,3912,2849,2321,1954,1937,3686,4577,6872,5054,5425,5967
"RVCYZ000354",925,1217,777,677,639,433,1278,1954,2875,3729,3772,4027
"RVCYZ000355",886,1064,578,710,651,506,1139,1752,1320,3022,3191,3283
"RVCYZ000356",1884,2280,1467,1228,890,914,2040,2397,3607,2886,2750,2991
"RVCYZ000357",3646,4740,3246,1980,1571,1718,3410,3494,3586,2693,2122,2381
"RVCYZ000358",6002,7223,5414,2549,2007,1860,4882,5809,10031,4129,4438,4419
"RVCYZ000359",776,1003,743,552,467,376,869,1261,1988,1948,2112,2284
"RVCYZ000360",3999,4760,3289,1811,1400,1387,3915,4719,4438,4125,4471,4863
"RVCYZ000361",2890,3355,1936,2164,1710,1145,3528,5271,2928,7822,8693,9036
"RVCYZ000362",2286,2003,1554,1301,1094,881,2362,3242,2568,5706,5642,6466
"RVCYZ000363",3154,3524,2440,2532,2137,2199,3561,4693,2184,4590,4617,5041
"RVCYZ000364",6921,7261,8645,2235,2091,1954,8153,8388,19825,20992,21416,25317
"RVCYZ000365",4688,5079,3836,2797,2445,1930,5382,7030,9683,16427,16525,17426
"RVCYZ000366",11478,14869,9738,6420,5258,4449,14787,19254,8530,27783,27012,28255
"RVCYZ000367",183,206,135,121,116,76,235,448,679,823,847,827
"RVCYZ000368",986,1123,827,513,430,379,1106,1611,2902,2032,2159,2444
"RVCYZ000369",2573,2876,2085,939,866,741,2561,2879,5621,3217,2935,3600
"RVCYZ000370",3550,4573,3382,1711,1414,1536,3974,3987,6395,3402,3271,3635
"RVCYZ000371",1514,1471,1983,549,587,572,2013,1799,1185,535,484,679
"RVCYZ000372",15467,18199,14261,7988,6540,7561,17413,15754,16053,3616,3616,4671
"RVCYZ000373",4237,5031,3881,3489,2928,2567,5327,7950,2398,9213,10232,10612
"RVCYZ000374",2363,2869,1907,1923,1645,1422,2578,3447,4767,4007,4490,4466
"RVCYZ000375",2512,2901,2230,1946,1613,1465,2684,3274,2035,3355,3534,3456
"RVCYZ000376",5101,5576,4251,3541,2961,2999,5631,6938,5589,5562,6064,6907
"RVCYZ000377",6689,7745,5516,3982,3339,3259,6289,7416,6686,5895,6325,7308
"RVCYZ000378",3363,3957,2741,2250,1914,1638,3805,5447,6235,6722,7184,8024
"RVCYZ000379",1033,1380,1021,899,724,656,1112,1541,1601,1916,2022,2131
"RVCYZ000380",1448,1498,1148,843,764,746,1282,1647,846,1673,1838,1877
"RVCYZ000381",5144,5743,3933,2789,2448,2298,5196,6576,4394,6692,6876,7558
"RVCYZ000382",2203,2215,1547,1230,944,879,2149,2680,2697,2659,2777,3236
"RVCYZ000383",2763,2794,3137,1709,1749,1791,3161,2973,5351,1333,1565,1909
"RVCYZ000384",902,1051,802,673,549,543,1058,1382,933,1560,1603,1888
"RVCYZ000385",1438,1628,1451,1008,863,842,1605,2162,1429,1904,2102,2307
"RVCYZ000386",851,1110,743,584,495,553,946,1127,941,1124,1182,1141
"RVCYZ000387",468,547,460,326,294,249,435,649,556,845,834,956
"RVCYZ000388",10830,14398,9948,9097,7126,7309,9344,9879,7358,5462,4897,5460
"RVCYZ000389",5823,6138,4958,2778,2378,2351,5180,5983,3166,4439,4665,5240
"RVCYZ000390",2792,3218,2466,1597,1283,1242,2517,3188,4019,2371,2798,2780
"RVCYZ000391",4113,4644,3394,2494,2012,2068,4089,4288,9644,4434,4159,4449
"RVCYZ000392",2282,2791,2065,1562,1370,1455,2244,2537,7046,2567,2567,3126
"RVCYZ000393",2078,2264,1734,1246,1097,908,2491,3303,4922,3579,3638,3955
"RVCYZ000394",1078,1283,938,630,623,429,1208,1869,1549,2448,2633,2695
"RVCYZ000395",2746,2837,2240,1573,1434,1377,2682,3543,2450,4076,4065,4862
"RVCYZ000396",57473,72681,53180,54714,44340,50246,54638,58672,29029,20616,19101,20272
"RVCYZ000397",5164,6411,6078,3005,3130,3656,6358,6251,8684,3729,3761,4556
"RVCYZ000398",1337,1765,1345,944,767,733,1688,2091,3909,2823,2810,3238
"RVCYZ000399",510,634,391,400,334,260,775,1132,724,1855,2032,2349
"RVCYZ000400",639,812,488,509,481,327,970,1384,2005,2824,3054,3278
"RVCYZ000401",948,983,632,791,657,450,1157,2007,849,3312,3847,4016
"RVCYZ000402",912,1149,773,590,451,461,1093,1605,693,2314,2433,2709
"RVCYZ000403",1424,1762,1091,1143,1097,808,1815,2916,895,3487,4212,4180
"RVCYZ000404",8561,9971,7286,5207,4468,3895,9865,12535,17716,15144,14594,16780
"RVCYZ000405",8067,9755,7558,5972,4962,5596,8013,8219,17136,5401,4220,5232
"RVCYZ000406",1364,1547,1490,942,921,1042,1441,1353,3396,1488,1394,1509
"RVCYZ000407",2808,3028,2292,1611,1441,1341,3536,4511,6486,7099,7006,8199
"RVCYZ000408",2752,3119,2272,1372,1275,1103,3355,4391,9512,8472,7505,9136
"RVCYZ000409",7109,8400,5980,3368,2958,2848,8139,8980,14845,10897,9983,11477
"RVCYZ000410",656,823,671,401,376,363,661,650,4722,982,929,1067
"RVCYZ000411",4673,5539,4398,3355,2908,3226,5215,5795,15466,8018,7556,8502
"RVCYZ000412",10808,13874,10622,8352,6639,7212,11553,12145,19318,7152,6110,7395
"RVCYZ000413",16523,20209,14954,12298,10173,11192,17284,17584,25776,13068,11021,13131
"RVCYZ000414",1025,1004,714,542,465,379,1044,1331,1407,1913,1861,2164
"RVCYZ000415",2065,2598,1721,1311,1079,1097,2290,2788,2215,2497,2569,2760
"RVCYZ000416",2177,2727,1815,1323,1066,1090,2192,2374,1556,1861,1987,2103
"RVCYZ000417",6898,7442,5317,3971,3453,3355,7016,7994,1942,4740,4916,5766
"RVCYZ000418",3436,4186,3079,2133,1977,2012,4261,5113,651,3688,4332,4310
"RVCYZ000419",32289,36751,26417,19926,17607,17799,30805,36037,5338,23505,24973,27438
"RVCYZ000420",490,711,393,417,349,266,688,825,195,1151,1513,1460
"RVCYZ000421",1446,1550,1152,966,692,659,1396,1789,892,1722,1959,2033
"RVCYZ000422",2930,3598,2451,1470,1203,1164,3101,3808,737,2634,3098,2987
"RVCYZ000423",4170,5338,4719,2631,2602,2749,5221,5524,10652,2854,2770,3542
